"id","Kichwa","Español","Kichwa2"
"1917","Tiksi yachaykuna"," Contenidos básicos ","Contenido básico"
"1918","Tiksi yuyay"," Fundamentación. ","Paqarichiy."
"1919","Tiksitupu"," Unidad de medida fundamental ","Unidad fundamental de medida nisqa"
"1920","Tiksiy"," Fundar ","Tarisqa"
"1921","Tiksiyay mutsuykuna"," Servicios básicos ","Servicios básicos nisqa"
"1922","Tinkina"," Unir ","Encuadernar"
"1923","Tinkirik yuyay"," Oración coordinada ","kuskanchasqa rimay"
"1924","Tinkuchik"," Concordancia ","Rimanakuy"
"1925","Titi"," Plomo ","Kamachiy"
"1926","Titichaska"," Minerales ","minerales nisqamanta"
"1927","Titu"," Acrobacia ","Acrobacia nisqa"
"1928","Tituyashka"," Gimnasia ","Gimnasio"
"1929","Tiya mama"," Tía ","Tia"
"1930","Tiyak"," Existe ","Existe"
"1931","Tiyak chanikunata paktachik"," Balance situacional ","equilibrio situacional nisqa"
"1932","Tiyak yupay"," Número natural ","Natural yupay"
"1933","Tiyashkata rikuchik"," Balance de comprobación ","Saldo nisqa qhaway"
"1934","Tiyay"," Posición ","Tarikuynin"
"1935","Tiyu yaya / tiyu tayta"," Tío ","Tio"
"1936","Tsawar"," Penco ","Penco"
"1937","Tsia"," Huevo de parásito- liendra ","Parásito huevo- niq"
"1938","Tsiklla"," Recto ","Paña"
"1939","Tsiknina"," Odiar ","Chiqniy"
"1940","Tsini"," Ortiga ","Ortiga"
"1941","Tsini kuru"," Larva ","Larva"
"1942","Tsunka"," Sorbete ","Sorbete nisqa"
"1943","Tsunkana"," Chupar: ","Suquy:"
"1944","Tukapu"," Prenda de gala de Mujer ","Warmikunap gala p'acha"
"1945","Tuku- putu-"," Tronco ","Maleta"
"1946","Tukuchina- Puchukana"," Consumir ","Hapiy"
"1947","Tukuchiy"," Conclusión ","Conclusion"
"1948","Tukuna"," Disfraz ","Chullachasqa"
"1949","Tukuraya"," Generalidades ","Generalidades nisqakuna"
"1950","Tukurik"," Finito. ","Finito."
"1951","Tukurik tantachishka"," Conjunto finito ","conjunto finito"
"1952","Tukurina"," acabar- terminar ","tuku- tukusqa"
"1953","Tukuriy"," Fin ","Tukuy"
"1954","Tukushka"," Efecto ","Qatiynin"
"1955","Tukuy Hillaykuna"," Aparatos de Medición ","Tupunapaq apaykachanakuna"
"1956","Tukuy shuti"," Nombre común ","Común suti"
"1957","Tukuy yupaychi"," Números reales ","Chiqap yupaykuna"
"1958","Tukuyllikuna"," Generalidades ","Generalidades nisqakuna"
"1959","Tukuyta shukllayachik"," Globalización ","globalización nisqa"
"1960","Tukuyyashka yupay"," Número entero ","hunt'asqa yupay"
"1961","Tukyana"," Erupcionar ","Eruptar"
"1962","Tukyay"," Explotar ","Pukuy"
"1963","Tullillak"," Invertebrado ","Mana tulluyuq"
"1964","Tullpu"," Color ","Llinpi"
"1965","TULLPUKUNA"," COLORES ","COLORES"
"1966","Tullpushka"," Teñido ","Had"
"1967","Tullu"," Hueso ","Tullu"
"1968","Tullupaki"," Fractura ","Fractura"
"1969","Tulukancha"," Vivero ","Vivero"
"1970","Tunkuri"," Esófago ","Esófago nisqa"
"1971","Tupu"," Medida ","Mastariy"
"1972","Tupukamaychi"," Sistema de medida ","Sistema de medición"
"1973","Tupuna"," Medir ","Tupuy"
"1974","Tupuy"," Medida ","Mastariy"
"1975","Turi"," Hermano harmana a hermano ","Wawqi harmana wawqiman"
"1976","Turu"," Lodo ","Mitu"
"1977","Turuwan makiruray pacha"," Período Formativo ","Periodo Formativo nisqa"
"1978","Tushuna"," Danzar ","Tusuy"
"1979","tuta"," noche ","tutapi"
"1980","Tuta suyu"," Oeste ","Kunti"
"1981","Tutamanta"," Madrugada ","Tutamanta"
"1982","Tutamikuy"," cenar ","diner"
"1983","Tutayana"," Anochecer ","Tutaman tukunanpaq"
"1984","Tutura"," Totora ","Cattail"
"1985","Uchilla"," Pequeño ","Uchuy"
"1986","Uchilla killka"," Letra minúscula ","Uchuy qillqa"
"1987","Uchilla tatki"," Segundo ","Iskay ñiqi"
"1988","Uchillakillka"," Minúscula. ","Uchuy qillqa."
"1989","Uchillayachishka yuyay"," Resumen. ","Pisiyachisqa."
"1990","Uchillayachishka yuyay (W)"," Resumen ","Pisiyachisqa"
"1991","Uchu"," Ají ","Chili pimienta"
"1992","Uka"," Oca ","Ganso"
"1993","Ukku"," Cuerpo humano ","Kurku"
"1994","Ukkukara Kuruta"," Cutáneo ","Cutáneo"
"1995","Ukkukuyuchik"," Extremidad ","Yanapay"
"1996","Ukkukuyurikancha"," Motricidad ","motor nisqa yachaykunata"
"1997","Ukkukuyuykamay"," Cultura Física ","Cultura Física"
"1998","Ukkunanchachiy"," Expresión corporal ","Expresión del cuerpo"
"1999","Ukkupa kuskaritimuna"," Chakradel cuerpo humano ","Chakra del cuerpo humano"
"2000","Ukkurupay"," Fiebre ","Rupapakuy"
"2001","Ukkuskayku"," Aparato ","Aparato"
"2002","Ukkuyawri"," Órgano ","Órgano"
"2003","Ukllana"," Abrazar ","Marqay"
"2004","Ukllay"," Abrazar ","Marqay"
"2005","uksha"," paja ","ichu"
"2006","Uku"," Dentro ","Ukun"
"2007","Uku kushma"," Camiseta ","Camiseta"
"2008","Ukucha"," Ratón ","Mouse"
"2009","Ukumari"," Oso ","Ukumari"
"2010","Ukunpuray"," Interrelación  ","interrelación nisqa"
"2011","Ukururu"," Berro ","Berro de agua"
"2012","Ukuyashka"," Cóncavo ","Concavo"
"2013","Ulku"," Machoanimalesjh ","qhari uywakunajh"
"2014","Ullu"," Pene ","Penis"
"2015","uma"," cabeza ","uma"
"2016","Uma ruka"," Dedo de la cabeza- anular ","Uma dedo - anillo dedo"
"2017","Uma tullu"," Cráneo ","Cráneo"
"2018","Umachi"," Engaño ","Engañado"
"2019","Umachik"," traidor- engañador ","traidor- engañaq"
"2020","Umachiy"," engañar ","yukay"
"2021","Umachuku"," visera ","visera nisqa"
"2022","Umamuskuy"," fantasia ","yuyaychakuy"
"2023","Umayarina"," Sensopercepción ","Sensopercepción nisqa"
"2024","Umayuyana"," Imaginar ","Umanchay"
"2025","Umayuyay"," Imaginacion ","Imaginación"
"2026","Umiña"," Cubo o exaedro. ","Cubo o exahedro."
"2027","Umiñakunapa yapa-puchu"," Suma o diferencia de cubos perfectos. ","Suma o diferencia de cubos perfectos."
"2028","Umiñatatki"," Metro cúbico ","Metro cúbico nisqa"
"2029","Umutu"," enano ","enano"
"2030","Unaka"," Caramelo ","Misk’i"
"2031","Unanchashkata pakta rikuchik"," sistema de numeración decimal ","chunkayuq yupay sistema"
"2032","Unanchay"," Notación ","Notación"
"2033","Unayay"," tardar ","unayay"
"2034","Unaypi shamuna pacha"," Futuro mediato ","chaylla hamuq pacha"
"2035","unkuk"," enfermo ","unquq"
"2036","Upa"," Mudo ","Upa"
"2037","Uphiyana"," Beber ","Upyanapaq"
"2038","Uray"," Abajo ","Uray"
"2039","Uray suyu"," Norte ","Chincha"
"2040","Uraykuy"," Bajar ","Uraykuy"
"2041","Urmana"," Caer ","Chakiy mita"
"2042","Urna ñutuku"," Cerebro ","Ñutqu"
"2043","Urpi"," Tórtola ","Tortuga Paloma"
"2044","Uru"," Araña ","Araña"
"2045","Usa"," Piojo ","Louse"
"2046","Usaysapa kuskakuna"," Lugares con poderes ","atiyniyuq sitiokunapi"
"2047","Ushay- atiy"," Poder ","Atiy"
"2048","Ushay- Ritimuna"," Energía ","Kallpa"
"2049","Ushaykamakunapash"," Poderes ","atiykunata"
"2050","Ushi"," Hija ","Churi"
"2051","Ushina- charina"," Adquirir ","Tariy"
"2052","Ushu"," Burro ","Asno"
"2053","ushuhama"," Nieta ","Nieta"
"2054","Ushuta"," Alpargates ","alpargatas"
"2055","Utik"," loco ","waqa"
"2056","Utikay"," locura ","loco kay"
"2057","Utka"," rapido ","utqay"
"2058","Utkachiy"," Abreviar- hacer breve ","abreviar - hacer corto"
"2059","Utku"," Hueco ","Uchku"
"2060","Uyakuy"," Obedecer ","Huntachiy"
"2061","Uyana"," Oír ","Uyariy"
"2062","Uyana"," Escuchar ","Uyariy"
"2063","Uyantin"," Consonante ","Consonante"
"2064","Uyarichay"," poner atencion ","atencionta ruway"
"2065","Uyarik"," Sonido ","Qapariy"
"2066","Uyarikancha yachay"," Fonología ","Fonología"
"2067","Uyarikuy"," Ruido- bulla ","sinqa"
"2068","Uyaywa"," Vocal ","Vocal"
"2069","Uyaywak"," Sonido. ","Qapariy."
"2070","Uyaywakancha yachay"," Fonología. ","Fonología."
"2071","Voz"," Unanchikrimay ","unanchikrimay"
"2072","Wacha"," Sábado ","Sabado"
"2073","WACHA puncha"," Sábado ","Sabado"
"2074","Wachana / pakarina"," Nacer ","Paqarisqa"
"2075","Wachariy / pakariy"," Nacimiento ","Paqariy"
"2076","Wachi"," Vector o rayo ","vector o rayo"
"2077","Wachuchiy"," Verso ","Versículo"
"2078","Waka"," Sagrado ","Qapaq"
"2079","Waka kuskakuna"," Lugares sagrados ","Sagrado lugares"
"2080","Wakana"," Llorar ","Waqay"
"2081","Wakarapuku"," Cuerno musical Instrumento de viento hecho con un cuerno y que sirve a forma de trompeta ","Musiku waqra Wayra instrumento waqrawan ruwasqa hinaspa trompeta hina serviq"
"2082","Wakayachina"," Conservar ","Takyachiy"
"2083","Wakaychina"," Guardar ","Waqaychay"
"2084","Wakcha"," Pobre ","Wakcha"
"2085","Wakchi"," flecha- lanza- saeta- dardo ","flecha- lanza- flecha- dardo"
"2086","Waki"," Sociedad ","Huñu"
"2087","Waki kawsaymantawankuri"," Organización Socio cultural ","Organización sociocultural nisqa"
"2088","Wakichina"," Preservar ","Waqaychay"
"2089","Wakikamay"," Sociología ","Sociología"
"2090","Wakimpi"," Alguna vez ","Wiñaypaq"
"2091","Wakin"," Alguno ","Wakin"
"2092","Wakiy"," Compartir ","Qunakuy"
"2093","Waklishka"," Dañado- podrido ","dañado- ismusqa"
"2094","Waklli"," Crisis ","Llaki"
"2095","Wakllichik"," Deterioro ","Deterioro nisqa"
"2096","Wakllichina"," agravio- danar ","queja- daño"
"2097","Wakra"," Ganado ","Vacakuna"
"2098","Waksa"," Lagartija ","Sukulluku"
"2099","Waksi"," Gas ","Gas nisqa"
"2100","Waksisapa"," Gaseoso ","Gaseoso nisqa"
"2101","Waktana"," Golpe ","Tuqyay"
"2102","Waktanakuy"," Luchar ","Maqanakuy"
"2103","Walaku"," Rana comestible ","mikhuypaq sapo"
"2104","Walinyana"," Balancear ","Kuskachay"
"2105","Wallinku"," Conejo ","Hatun quwi"
"2106","Wallka"," Collar ","Wallqa"
"2107","Wallpa"," Forma- formación ","Forma- formación"
"2108","Wallpachi yuyay"," Teoría creacionista ","Teoría creacionista nisqa"
"2109","Wallpana"," Crear- inventar ","kamay- inventar"
"2110","Wallpari"," Invento- creación ","invento- kamay"
"2111","Wallpay"," Estructura ","Estructura"
"2112","Wallpaykamay"," Filosofía ","Filosofía"
"2113","Walpana"," Crear- inventar ","kamay- inventar"
"2114","Waltaku"," Pantalón de tela ","Pantalón de tela"
"2115","Waman"," Gavilán ","Halcón"
"2116","Wamintsi"," Rosado ","Panti"
"2117","Wampra"," Joven- adolescente varón ","Wayna- wayna- sipas qhari"
"2118","Wampuk"," Barco- lancha ","bote-bote nisqa"
"2119","Wampuk rikutirikancha"," Puerto marítimo ","Lamar quchapi puerto"
"2120","WAMPULLI"," Bote- canoa- velero- barca pequeña ","Bote- canoa- vela- bote uchuy"
"2121","Wampuna"," Nadar ","Wanpuy"
"2122","Wampuy"," Natación ","Wanpuy"
"2123","Wampuypi shuwakkuna"," Piratas- corsario ","piratakuna- corsair"
"2124","Wamra"," Púber ","Pubescente"
"2125","Wanachiy"," Castigar ","Muchuchiy"
"2126","Wanchiy"," Matar ","Wañuchiy"
"2127","Wankuri"," Organización ","Huñu"
"2128","Wantu"," Floripondio ","Floripondio llaqtapi"
"2129","Wanu"," Fertilizante natural ","abono natural nisqa"
"2130","Wanyari"," Evaporación ","Evaporación nisqa"
"2131","Wara"," Pantalón de lana ","Pantalón de lana"
"2132","Warakay"," Lanzamiento ","Qallariy"
"2133","WARANKA"," mil- 1000 ","waranqa 1000"
"2134","Waranka piti"," Tanto por mil. ","Chayna achka waranqapaq."
"2135","Warankakri"," Milésimo. ","Waranqa kaq."
"2136","Warankaku"," Kilogramo ","Kilogramo nisqa"
"2137","Warankawataychi"," Milenio ","Waranqa wata"
"2138","Waricha/Pampawarmi"," prostituta ","rabona warmi"
"2139","Warichakay"," Prostitucion ","Prostitución"
"2140","Warichariy"," Locura ","Locura"
"2141","Warmi"," Mujer- esposa ","Warmi"
"2142","Warmi wara"," Blusa ","Blusa"
"2143","Warmipurakuyay"," Lesbianismo ","lesbiana nisqa"
"2144","Warunruk- chachu"," Astro ","Quyllur"
"2145","Washa"," Espalda ","Qipaman"
"2146","Washa tullu"," Columna vertebral- espinazo ","Vertebral columna- wasanpi kaq"
"2147","Washa tullu ñutuku"," Médula espinal ","Médula espinal"
"2148","Washa ñutuku"," Cerebelo ","Cerebelo nisqa"
"2149","Washarimay"," Murmuración- crítica ","Ch’aqway- critico"
"2150","Washatarimay"," Murmurar ","Murmur"
"2151","wasi"," Casa ","Wasi"
"2152","Wasi allpa rantimanta"," Bienes y raíces ","Bienes y raíces"
"2153","Wasiruraykamay"," Arquitectura ","Arquitectura"
"2154","Waska"," Soga ","Waska"
"2155","Waskariklla"," Ritmo ","Kuskachay"
"2156","Wasra"," Vino ","Chayamusqa"
"2157","Wata"," Año ","Wata"
"2158","Watapacha"," Calendario ","Calendario nisqa"
"2159","Watay wasi"," Prisión ","Atisanka wasi"
"2160","Watayuk"," Edad ","Hayka wata"
"2161","Watu"," Cadena ","Qaytu"
"2162","Watuchina- imashi"," Adivinar ","Watuy"
"2163","Wawa"," Niño ","Warma"
"2164","Wawa chumpi"," Faja-delgada ","Cinturón-delgado"
"2165","Wawa kullki kamachik"," Regla de interés simple. ","Regla de interés simple."
"2166","Wawa mama"," Placenta ","Placenta"
"2167","Wawa ruka"," Dedo meñique ","Pinkie"
"2168","Wawakay"," Niñez ","Wawa kay"
"2169","Wawakullki"," Interés. ","Munay."
"2170","Wawchiy"," Influencia ","Influencia"
"2171","Wawki"," Hermano entre hermanos ","wawqikuna ukhupi wawqi"
"2172","Wawkikay"," hermandad entre hombres ","runakunapa wawqe-panaku"
"2173","Wayay"," Oxígeno ","Oxígeno nisqa"
"2174","Waychi"," Plomo ","Kamachiy"
"2175","Wayku"," Quebrada- barranco ","Barranco-barranco"
"2176","Waykuhaskancha"," Relieve ","Hawkayay"
"2177","Waykukaskancha"," Relieve ","Hawkayay"
"2178","Waylla"," Verde ","Qumir"
"2179","Wayllamkay"," Obrajes ","Llank’an"
"2180","waylluy"," ternura ","llampu kay"
"2181","Wayna"," Joven- amante. ","Wayna- munakuq."
"2182","Wayra"," aire- viento ","Wayra wayra"
"2183","Wayrakata- wayramaytu"," Atmósfera ","Atmósfera"
"2184","Wayrayay"," Volatilidad ","Volatilidad nisqa"
"2185","Wayru"," Octubre ","Octubre killa"
"2186","WAYRU killa"," Octubre ","Octubre killa"
"2187","Wayta"," Clavel ","Clavel"
"2188","Wañuna"," Morir ","Wañuy"
"2189","Wañuy"," Muerte ","Wañuy"
"2190","Wañuykamachiy"," Ley de inquisición ","inquisición nisqa kamachiy"
"2191","Wichay"," Subida- cuesta ","wichay- urqu"
"2192","Wichay suyu"," Sur ","Qulla"
"2193","Wichayana"," Ascender ","Wichay"
"2194","Wichisuni"," Alto ","Hatun"
"2195","Wichkachik"," Paréntesis ","Paréntesis nisqa"
"2196","Wichkak chupa"," Comilla. ","cita."
"2197","Wichkak chupa(W)"," Comilla ","cita"
"2198","Wichkashka"," Encerrado ","Wichqasqa"
"2199","Wika"," Escremento ","excremento"
"2200","Wikar"," Cintura ","Wiqaw"
"2201","Wiki"," Lágrima ","Wiqi"
"2202","Wikka mayu"," Sumo saserdote-.Shyry ","Uma Sacerdote-.Shyry"
"2203","Wiksa"," Barriga- vientre ","wiksa"
"2204","Wikuriy"," Flexibilidad ","Flexibilidad nisqa"
"2205","Wilka"," Ritos ","ritokuna"
"2206","Wilkana"," Rito ","Rito"
"2207","Wilkana- muchana"," Adorar- venerar ","adorar- yupaychay"
"2208","Wilkay"," Sagrado ","Qapaq"
"2209","Willachik"," Noticia ","Willaykuna"
"2210","Willak hillay"," Medio de comunicación ","Medios de comunicación nisqakuna"
"2211","Willak pirka(W)"," Periódico mural ","Periódico mural"
"2212","Willak yuyay"," Oración enunciativa ","declarativa nisqa rimay"
"2213","Willakpirka"," Periódico mural. ","Periódico mural."
"2214","Willana"," Avisar- informar ","Advertir- willay"
"2215","Willayhillay"," Medio de Comunicación. ","Medios de comunicación nisqakuna."
"2216","Willaykancha"," Medios de comunicación ","Medios de comunicación nisqakuna"
"2217","Williku"," Espermatozoide ","Espermatozoide nisqa"
"2218","Wilyay- lumyay"," Llamarada ","Llamayu"
"2219","Winkuchikkuna"," Paréntesis. ","Paréntesis nisqa."
"2220","Winkuk"," Llaves. ","Llavekuna."
"2221","Wirakucha"," Rubicundo- pelirojo- rubio ","Puka- puka chukcha- q’illu"
"2222","WISIYAY"," Crema ","Crema"
"2223","Wisnu"," Materia ","Rimana"
"2224","Wisya"," Crema ","Crema"
"2225","Witikwitik"," Tambalear ","Stagger"
"2226","Witsyayay"," Subirse ","wichay"
"2227","Wiwakamay"," Ganadería ","Waka uyway"
"2228","WIWAKUNA"," ANIMALES ","ANIMALES"
"2229","Wiwika"," Oveja ","Chita"
"2230","Wiwika- Llama"," Oveja ","Chita"
"2231","Wiña"," generación ","ruway"
"2232","Wiñachina"," Criar ","Uyway"
"2233","Wiñachishka shimi"," Neologismo ","Neologismo nisqa"
"2234","Wiñakukllachak (K)"," Almácigos ","Mallkikuna"
"2235","Wiñana"," Crecer ","Wiñay"
"2236","Wiñari"," Desarrollo ","Wiñay"
"2237","Wiñarikpukyu"," Fuente- vertiente ","Pukyu- pendiente"
"2238","Wiñarina"," Desarrollar ","Wiñay"
"2239","Wiñay"," Siempre ","Sapa kuti"
"2240","Wiñay kawsay kallaripi rurayta kamay"," Arqueología ","Arqueología"
"2241","Wiñay kawsaykallaripi ruraytakamay"," Arqueología ","Arqueología"
"2242","Wiñaykawsay"," Historia ","Willarina"
"2243","Wiñaykawsay imakuna"," Hechos históricos ","Hechos históricos nisqamanta"
"2244","Wiñaykawsay kallariy"," Prehistoria ","Ñawpa pacha"
"2245","Wiñaykaysay kallari"," Inicio de la historia prehistoria ","Ñawpa pachamanta willaypa qallariynin"
"2246","Yachakuna"," Aprender ","Yachakuy"
"2247","Yachana"," Saber ","Yachay"
"2248","YACHANA WASI"," Escuela ","Yachay wasi"
"2249","Yachapayay"," Dramatización.  ","Dramatización nisqa."
"2250","Yachapayay (W)"," Dramatización ","Dramatización nisqa"
"2251","Yachariy"," Estar acostumbrado ","Yachasqa kay"
"2252","Yachay"," Ciencia- educación ","Ciencia- yachay"
"2253","Yachay pampa"," Area. ","Panpa."
"2254","Yachay ñan"," Proceso metodológico ","proceso metodológico nisqamanta"
"2255","Yachayay"," enterarse ","maskay"
"2256","Yachaykamachik"," Ley de Educación ","Ley de educación"
"2257","Yachaykancha"," Área ","Panpa"
"2258","Yachaykuna"," Sabiduría ","Yachay"
"2259","Yachaypa hillay"," Material didáctico ","Yachachinapaq kaqkuna"
"2260","Yachaypak hillay"," Recurso didáctico ","yachachinapaq yanapakuy"
"2261","Yachayruray"," Práctica ","Yachapay"
"2262","Yachayshuti"," Título ","Suti"
"2263","Yachayta taripana"," Dominio del conocimiento. ","Yachay kamachiy."
"2264","Yachayta taripay"," Dominio del conocimiento ","yachaypa kamachiynin"
"2265","Yachayta wallpay"," Creación del conocimiento ","yachay kamay"
"2266","Yachayta willana"," Socialización del conocimiento ","Yachaykunapa socialización nisqa"
"2267","Yachayta wiñachiy"," Creación del conocimiento. ","Yachaykunata kamay."
"2268","Yachaywa"," Tema. ","Sasachay."
"2269","Yachaywa (W)"," Tema ","Sasachay"
"2270","Yachaywan rurana"," Aplicación del conocimiento ","Yachaykunata churana"
"2271","Yachayyuyay"," Teoría ","Teoría"
"2272","Yachayñan"," Metodología ","Metodología nisqa"
"2273","Yaksina"," Fundir ","Chulluchiy"
"2274","Yaksishka"," Fundido ","Chullusqa"
"2275","Yaku"," Agua ","Yaku"
"2276","Yaku ishpa"," Orina ","Urina"
"2277","Yaku larka"," Canal de riego ","Yaku kanal"
"2278","Yaku shunku"," Hígado ","Kichpan"
"2279","Yakuhampik Chuyayachik Yachuchik"," Cloración del agua ","yakupi cloración nisqa"
"2280","Yakukamay"," Hidrografía ","Hidrografía nisqa"
"2281","Yakumuyuyallpa"," Isla tierra rodeade de agua ","Yakuwan muyurisqa isla allpa"
"2282","Yakushushuy"," Decantación ","decantación"
"2283","Yakuyachik"," Disolvente ","disolvente nisqa"
"2284","Yakuyachina"," Disolver ","Chulluchiy"
"2285","Yakuyachiy"," derretir ","chulluchiy"
"2286","Yakuyakkuri"," Golfo ","Golfo"
"2287","Yakuyashka"," Líquido ","Yaku"
"2288","Yakwallpa"," Anfibios ","anfibiokuna"
"2289","Yalli paktachik"," Complemento Directo. ","Complemento directo nisqa."
"2290","Yalli paktachik YP"," Complemento Directo ","Complemento directo nisqa"
"2291","Yallichawpiyak"," Moda ","Moda"
"2292","Yallilutsayak"," Proporción geométrica o directa ","Proporción geométrica o directa nisqa"
"2293","Yallimanya"," Cateto mayor. ","Hatun misi."
"2294","Yallishka"," Mayor que ","Aswan hatunmanta"
"2295","Yallishka pacha"," Tiempo pasado ","Ñawpa pacha"
"2296","Yalliyak pakiyupay"," Fracción inpropia ","mana allin fracción"
"2297","Yana sara"," Maíz negro ","yana sara"
"2298","Yana shunku"," Riñón ","Lulun"
"2299","Yana yana"," Negro intenso ","ukhu yana"
"2300","Yanakuna"," servidumbre ","sirviente kay"
"2301","Yanantina- kutuna- hatun hallmana"," Aporcar ","qata"
"2302","Yanapak wasi"," Agencia de desarrollo ","wiñariy wasi"
"2303","Yanapak wasikuna"," Instituciones ","Institucionkuna"
"2304","Yanapana"," Ayudar ","Yanapay"
"2305","Yanapanka"," servicio ","yanapakuy"
"2306","Yanapay"," Servicio- Servir ","Servicio- Servir"
"2307","Yanapayana"," Solidarizar ","Solidarización"
"2308","Yanapayaymanta"," Solidadaridad ","Solidaridad nisqa"
"2309","Yankakapak"," Politiquero ","pulitiku runa"
"2310","Yankakichuna"," Invadir ","Incursión"
"2311","Yankakichuy"," Invasión ","Invasión"
"2312","Yankichik"," Agentes ","Agentekuna"
"2313","Yankina"," Modificar ","Modificar"
"2314","Yankina- Shukmanyachina"," Cambiar ","Tikray"
"2315","Yankinachik"," Agente modificador ","agente modificador nisqa"
"2316","Yankiy"," Cambio ","Tikray"
"2317","Yanuna"," Cocinar ","Yanuy"
"2318","Yanuna uku"," Cocina ","Yanuna"
"2319","Yapa tantachiy"," Conjunto unión ","union churasqa"
"2320","Yapakullki"," Monto ","Chanin"
"2321","Yapakullkina"," Usura ","Usuria"
"2322","Yapakutinchiklla"," Frecuencia acumulada ","Frecuencia acumulada nisqa"
"2323","Yapalutsay"," Proporcionalidad directa ","proporcionalidad directa nisqa"
"2324","Yaparikkuna"," Sumandos ","yapan"
"2325","Yapatantachi"," Unión de conjuntos. ","Unión de conjuntos."
"2326","Yapuk"," Arador ","Yapuq"
"2327","Yari"," Sentido ","Musyay"
"2328","Yariyachina"," 2Percibir ","2Reqsiy"
"2329","Yarkay"," hambre ","yarqay"
"2330","Yawar"," Sangre ","Yawar"
"2331","Yawar ayllunikiyashka"," Grados de consanguinidad ","Grados de consanguinidad nisqa"
"2332","Yawar Muyuri"," Circulación de sangre ","yawar puriy"
"2333","Yawarchakruri"," Mestizaje ","De raza mixta"
"2334","Yawarmuyuriy"," Circulatorio sanguíneo ","yawar puriy"
"2335","YAWARPURIY"," Presión Arterial ","Yawarpa tanqaynin"
"2336","Yawati"," Tortuga ","Charapa"
"2337","Yawatisuyu"," Región Insular Galápagos ","Galápagos wat'a suyu"
"2338","Yawri"," Aguja ","Aguja"
"2339","Yaya"," Padre ","Tayta"
"2340","Yaya / tayta"," Papá- padre ","Tayta Tayta"
"2341","Yaykuchiy- satiy"," Introducción física ","aychapi riqsichiy"
"2342","Yaykuna"," entrar ","haykuy"
"2343","Yukuna- yumana"," Aparear ","Masa"
"2344","Yuma"," Semen ","Semen"
"2345","Yumariy"," unirse sexualmente ","sexualmente hukllawakuy"
"2346","Yumay"," Semen ","Semen"
"2347","Yupachay"," Cortesía ","Cortesia"
"2348","Yupachi"," Conteo ","yupay"
"2349","Yupana"," Contar ","Yupay"
"2350","Yupay chani"," Valor absoluto o numérico ","Absoluto utaq yupayniyuq chaninchasqa"
"2351","Yupaychana"," Agradecer ","Riqsikuy"
"2352","Yupaychani"," Gracias ","Riqsikuyki"
"2353","Yupaykamay"," Matemática ","Yupay yachay"
"2354","Yupaykamay hillaykuna"," Materiales didácticos de la matemática ","Yupay yachaymanta yachachinapaq kaqkuna"
"2355","Yupaykamaychi"," Sistema numérico ","Sistema numérico nisqa"
"2356","Yupaykamaychi yuyay"," Pensamiento lógico matemático ","matemático lógico nisqa yuyay"
"2357","Yupaykamayuk"," Matemático ","Yupay yachay"
"2358","Yupaykuna"," Los números ","Chay yupaykuna"
"2359","Yupaykuska"," Recta numérica ","Yupay chiru"
"2360","YUPAYLLI"," Cuenta Bancaria ","Bancopi yupay"
"2361","Yupaymillka"," Esquema numérico ","yupay esquema"
"2362","Yupaynikichik"," Calculadora ","Yupaychaq"
"2363","Yupaypurachi"," Razón ","Imarayku"
"2364","Yupayrurayri"," Operación numérica o Aritmética ","Operación Numérica o Aritmética nisqa"
"2365","Yura"," Planta ","Yura"
"2366","Yurak"," Blanco ","Yuraq"
"2367","Yurak sara"," Maíz blanco ","Yuraq sara"
"2368","Yurak shunku"," Pulmón ","Pulmón"
"2369","Yurakamak"," Forestal ","Sacha sacha"
"2370","YURAKUNA"," PLANTAS ","QURAKUNA"
"2371","Yutay"," Influencia ","Influencia"
"2372","Yuyakillkalla"," Carta ","Carta"
"2373","Yuyakyashka"," Vejez ","Machuyay"
"2374","Yuyana"," Pensar ","Umanchay"
"2375","Yuyarikkuna"," Reflexiones ","yuyaymanaykuna"
"2376","Yuyarina"," Reflexionar ","Qawachiy"
"2377","Yuyasha"," Cautela ","Waqaychasqa"
"2378","Yuyay"," Pensamieto ","Umanchay"
"2379","Yuyay awariy"," Sintaxis ","Sintaxis nisqa"
"2380","Yuyay kaspi"," Línea imaginaria ","Imaginaria chiru"
"2381","Yuyay paktay"," Unidad de criterio ","Unidad de criterio"
"2382","Yuyay rurayri"," Problemas razonados.  ","razonasqa sasachakuykunata."
"2383","Yuyaychipukllay"," Rompecabezas ","Puzzle"
"2384","Yuyaynikik"," Software ","Software"
"2385","Yuyaynina"," Opinar ","Yuyay"
"2386","Yuyaypaktana"," Concertar. ","Allichay."
"2387","Yuyayrikuchik"," Determinación o definición ","Determinación o definición nisqa"
"2388","Yuyayrina"," Concentrar ","Chawpichasqa"
"2389","Yuyayrina (W)"," Concentrar mental ","yuyaypi yuyaymanay"
"2390","Yuyu / panra"," Nabo ","Nabo"
"2391","Zampu"," Sambo- calabaza ","Sambo- calabaza"
"2392","ZIRMAPUTULLI"," Bateria- pila ","Batería- pila"
"2393","Ñachu"," ya está- ya es ","chaymi- chaymi"
"2394","Ñakariy"," Pasión de placer ","kusikuy pasión"
"2395","Ñankamu"," Guía ","Qatina"
"2396","Ñankamu (W)"," Guía didáctica ","guía didáctica nisqa"
